התפעל	עתיד	ראשון	זכר 	יחיד	את_י_צ_ב_
התפעל	עתיד	ראשון	נקבה	יחיד	את_י_צ_ב_
התפעל	עתיד	שני 	זכר 	יחיד	תת_י_צ_ב_
התפעל	עתיד	שני 	נקבה	יחיד	תת_י_צ_בי_
התפעל	עתיד	שלישי	זכר 	יחיד	ית_י_צ_ב_
התפעל	עתיד	שלישי	נקבה	יחיד	תת_י_צ_ב_
התפעל	עתיד	ראשון	זכר 	רבים	נת_י_צ_ב_
התפעל	עתיד	ראשון	נקבה	רבים	נת_י_צ_ב_
התפעל	עתיד	שני 	זכר 	רבים	תת_י_צ_בו_
התפעל	עתיד	שני 	נקבה	רבים	תת_י_צ_בנה_
התפעל	עתיד	שלישי	זכר 	רבים	ית_י_צ_בו_
התפעל	עתיד	שלישי	נקבה	רבים	תת_י_צ_בנה_
התפעל	ציווי	שני 	זכר 	יחיד	הת_י_צ_ב_
התפעל	ציווי	שני 	נקבה	יחיד	הת_י_צ_בי_
התפעל	ציווי	שני 	זכר 	רבים	הת_י_צ_בו_
התפעל	ציווי	שני 	נקבה	רבים	הת_י_צ_בנה_
