הופעל	עבר 	שלישי	זכר 	רבים	הו_י_צ_בו
הופעל	עבר 	שלישי	נקבה	רבים	הו_י_צ_בו
הופעל	הווה	ראשון	זכר 	יחיד	מו_י_צ_ב
הופעל	הווה	ראשון	נקבה	יחיד	מו_י_צ_בת
הופעל	הווה	שני 	זכר 	יחיד	מו_י_צ_ב
הופעל	הווה	שני 	נקבה	יחיד	מו_י_צ_בת
הופעל	הווה	שלישי	זכר 	יחיד	מו_י_צ_ב
הופעל	הווה	שלישי	נקבה	יחיד	מו_י_צ_בת
הופעל	הווה	ראשון	זכר 	רבים	מו_י_צ_בים
הופעל	הווה	ראשון	נקבה	רבים	מו_י_צ_בות
הופעל	הווה	שני 	זכר 	רבים	מו_י_צ_בים
הופעל	הווה	שני 	נקבה	רבים	מו_י_צ_בות
הופעל	הווה	שלישי	זכר 	רבים	מו_י_צ_בים
הופעל	הווה	שלישי	נקבה	רבים	מו_י_צ_בות
הופעל	עתיד	ראשון	זכר 	יחיד	או_י_צ_ב
הופעל	עתיד	ראשון	נקבה	יחיד	או_י_צ_ב
הופעל	עתיד	שני 	זכר 	יחיד	תו_י_צ_ב
הופעל	עתיד	שני 	נקבה	יחיד	תו_י_צ_בי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_י_צ_ב
הופעל	עתיד	שלישי	נקבה	יחיד	תו_י_צ_ב
הופעל	עתיד	ראשון	זכר 	רבים	נו_י_צ_ב
הופעל	עתיד	ראשון	נקבה	רבים	נו_י_צ_ב
הופעל	עתיד	שני 	זכר 	רבים	תו_י_צ_בו
הופעל	עתיד	שני 	נקבה	רבים	תו_י_צ_בנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_י_צ_בו
הופעל	עתיד	שלישי	נקבה	רבים	תו_י_צ_בנה
התפעל	עבר 	ראשון	זכר 	יחיד	הת_י_צ_בתי
התפעל	עבר 	ראשון	נקבה	יחיד	הת_י_צ_בתי
התפעל	עבר 	שני 	זכר 	יחיד	הת_י_צ_בת
התפעל	עבר 	שני 	נקבה	יחיד	הת_י_צ_בת
התפעל	עבר 	שלישי	זכר 	יחיד	הת_י_צ_ב
התפעל	עבר 	שלישי	נקבה	יחיד	הת_י_צ_בה
התפעל	עבר 	ראשון	זכר 	רבים	הת_י_צ_בנו
התפעל	עבר 	ראשון	נקבה	רבים	הת_י_צ_בנו
התפעל	עבר 	שני 	זכר 	רבים	הת_י_צ_בתם
התפעל	עבר 	שני 	נקבה	רבים	הת_י_צ_בתן
התפעל	עבר 	שלישי	זכר 	רבים	הת_י_צ_בו
התפעל	עבר 	שלישי	נקבה	רבים	הת_י_צ_בו
התפעל	הווה	ראשון	זכר 	יחיד	מת_י_צ_ב
התפעל	הווה	ראשון	נקבה	יחיד	מת_י_צ_בת
התפעל	הווה	שני 	זכר 	יחיד	מת_י_צ_ב
התפעל	הווה	שני 	נקבה	יחיד	מת_י_צ_בת
התפעל	הווה	שלישי	זכר 	יחיד	מת_י_צ_ב
התפעל	הווה	שלישי	נקבה	יחיד	מת_י_צ_בת
התפעל	הווה	ראשון	זכר 	רבים	מת_י_צ_בים
התפעל	הווה	ראשון	נקבה	רבים	מת_י_צ_בות
התפעל	הווה	שני 	זכר 	רבים	מת_י_צ_בים
התפעל	הווה	שני 	נקבה	רבים	מת_י_צ_בות
התפעל	הווה	שלישי	זכר 	רבים	מת_י_צ_בים
התפעל	הווה	שלישי	נקבה	רבים	מת_י_צ_בות
התפעל	עתיד	ראשון	זכר 	יחיד	את_י_צ_ב
התפעל	עתיד	ראשון	נקבה	יחיד	את_י_צ_ב
התפעל	עתיד	שני 	זכר 	יחיד	תת_י_צ_ב
התפעל	עתיד	שני 	נקבה	יחיד	תת_י_צ_בי
התפעל	עתיד	שלישי	זכר 	יחיד	ית_י_צ_ב
התפעל	עתיד	שלישי	נקבה	יחיד	תת_י_צ_ב
התפעל	עתיד	ראשון	זכר 	רבים	נת_י_צ_ב
התפעל	עתיד	ראשון	נקבה	רבים	נת_י_צ_ב
התפעל	עתיד	שני 	זכר 	רבים	תת_י_צ_בו
התפעל	עתיד	שני 	נקבה	רבים	תת_י_צ_בנה
התפעל	עתיד	שלישי	זכר 	רבים	ית_י_צ_בו
התפעל	עתיד	שלישי	נקבה	רבים	תת_י_צ_בנה
התפעל	ציווי	שני 	זכר 	יחיד	הת_י_צ_ב
התפעל	ציווי	שני 	נקבה	יחיד	הת_י_צ_בי
התפעל	ציווי	שני 	זכר 	רבים	הת_י_צ_בו
התפעל	ציווי	שני 	נקבה	רבים	הת_י_צ_בנה
