זוג
פועל	עבר 	שני 	זכר 	רבים	_זו_ג_גתם
פועל	עבר 	שני 	נקבה	רבים	_זו_ג_גתן
פועל	עבר 	שלישי	זכר 	רבים	_זו_ג_גו
פועל	עבר 	שלישי	נקבה	רבים	_זו_ג_גו
פועל	הווה	ראשון	זכר 	יחיד	מ_זו_ג_ג
פועל	הווה	ראשון	נקבה	יחיד	מ_זו_ג_גת
פועל	הווה	שני 	זכר 	יחיד	מ_זו_ג_ג
פועל	הווה	שני 	נקבה	יחיד	מ_זו_ג_גת
פועל	הווה	שלישי	זכר 	יחיד	מ_זו_ג_ג
פועל	הווה	שלישי	נקבה	יחיד	מ_זו_ג_גת
פועל	הווה	ראשון	זכר 	רבים	מ_זו_ג_גים
פועל	הווה	ראשון	נקבה	רבים	מ_זו_ג_גות
פועל	הווה	שני 	זכר 	רבים	מ_זו_ג_גים
פועל	הווה	שני 	נקבה	רבים	מ_זו_ג_גות
פועל	הווה	שלישי	זכר 	רבים	מ_זו_ג_גים
פועל	הווה	שלישי	נקבה	רבים	מ_זו_ג_גות
פועל	עתיד	ראשון	זכר 	יחיד	א_זו_ג_ג
פועל	עתיד	ראשון	נקבה	יחיד	א_זו_ג_ג
פועל	עתיד	שני 	זכר 	יחיד	ת_זו_ג_ג
פועל	עתיד	שני 	נקבה	יחיד	ת_זו_ג_גי
פועל	עתיד	שלישי	זכר 	יחיד	י_זו_ג_ג
פועל	עתיד	שלישי	נקבה	יחיד	ת_זו_ג_ג
פועל	עתיד	ראשון	זכר 	רבים	נ_זו_ג_ג
פועל	עתיד	ראשון	נקבה	רבים	נ_זו_ג_ג
פועל	עתיד	שני 	זכר 	רבים	ת_זו_ג_גו
פועל	עתיד	שני 	נקבה	רבים	ת_זו_ג_גו
פועל	עתיד	שלישי	זכר 	רבים	י_זו_ג_גו
פועל	עתיד	שלישי	נקבה	רבים	ת_זו_ג_גנה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_זדו_ג_גתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_זדו_ג_גתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_זדו_ג_גת
התפעל 	עבר 	שני 	נקבה	יחיד	ה_זדו_ג_גת
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_זדו_ג_ג
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_זדו_ג_גה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_זדו_ג_גנו
