תשש
פעל 	הווה	_	_ 	_	ל_ת_שו_ש
התפעל	עתיד	שלישי	זכר 	יחיד	י_ת_ש_ש
התפעל	עתיד	שלישי	נקבה	יחיד	ת_ת_ש_ש
התפעל	עתיד	ראשון	זכר 	רבים	נ_ת_ש_ש
התפעל	עתיד	ראשון	נקבה	רבים	נ_ת_ש_ש
התפעל	עתיד	שני 	זכר 	רבים	ת_ת_ש_שו
התפעל	עתיד	שני 	נקבה	רבים	ת_ת_ש_שנה
התפעל	עתיד	שלישי	זכר 	רבים	י_ת_ש_שו
התפעל	עתיד	שלישי	נקבה	רבים	ת_ת_ש_שנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_ת_ש_ש
התפעל	ציווי	שני 	נקבה	יחיד	ה_ת_ש_שי
התפעל	ציווי	שני 	זכר 	רבים	ה_ת_ש_שו
התפעל	ציווי	שני 	נקבה	רבים	ה_ת_ש_שנה
