דגר
פעל 	הווה	_	_ 	_	ל_ד_גו_ר
התפעל	עבר 	ראשון	נקבה	יחיד	ה_ד_ג_רתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_ד_ג_רת
התפעל	עבר 	שני 	נקבה	יחיד	ה_ד_ג_רת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_ד_ג_ר
התפעל	עבר 	שלישי	נקבה	יחיד	ה_ד_ג_רה
התפעל	עבר 	ראשון	זכר 	רבים	ה_ד_ג_רנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_ד_ג_רנו
התפעל	עבר 	שני 	זכר 	רבים	ה_ד_ג_רתמ
התפעל	עבר 	שני 	נקבה	רבים	ה_ד_ג_רתנ
התפעל	עבר 	שלישי	זכר 	רבים	ה_ד_ג_רו
התפעל	עבר 	שלישי	נקבה	רבים	ה_ד_ג_רו
התפעל	הווה	ראשון	זכר 	יחיד	מת_ד_ג_ר
התפעל	הווה	ראשון	נקבה	יחיד	מת_ד_ג_רת
התפעל	הווה	שני 	זכר 	יחיד	מת_ד_ג_ר
התפעל	הווה	שני 	נקבה	יחיד	מת_ד_ג_רת
התפעל	הווה	שלישי	זכר 	יחיד	מת_ד_ג_ר
התפעל	הווה	שלישי	נקבה	יחיד	מת_ד_ג_רת
התפעל	הווה	ראשון	זכר 	רבים	מת_ד_ג_רימ
התפעל	הווה	ראשון	נקבה	רבים	מת_ד_ג_רות
התפעל	הווה	שני 	זכר 	רבים	מת_ד_ג_רימ
התפעל	הווה	שני 	נקבה	רבים	מת_ד_ג_רות
התפעל	הווה	שלישי	זכר 	רבים	מת_ד_ג_רימ
התפעל	הווה	שלישי	נקבה	רבים	מת_ד_ג_רות
התפעל	עתיד	ראשון	זכר 	יחיד	א_ד_ג_ר
התפעל	עתיד	ראשון	נקבה	יחיד	א_ד_ג_ר
התפעל	עתיד	שני 	זכר 	יחיד	ת_ד_ג_ר
התפעל	עתיד	שני 	נקבה	יחיד	ת_ד_ג_רי
התפעל	עתיד	שלישי	זכר 	יחיד	י_ד_ג_ר
התפעל	עתיד	שלישי	נקבה	יחיד	ת_ד_ג_ר
התפעל	עתיד	ראשון	זכר 	רבים	נת_ד_ג_ר
התפעל	עתיד	ראשון	נקבה	רבים	נת_ד_ג_ר
התפעל	עתיד	שני 	זכר 	רבים	ת_ד_ג_רו
התפעל	עתיד	שני 	נקבה	רבים	ת_ד_ג_רנה
התפעל	עתיד	שלישי	זכר 	רבים	י_ד_ג_רו
התפעל	עתיד	שלישי	נקבה	רבים	ת_ד_ג_רנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_ד_ג_ר
התפעל	ציווי	שני 	נקבה	יחיד	ה_ד_ג_רי
התפעל	ציווי	שני 	זכר 	רבים	ה_ד_ג_רו
התפעל	ציווי	שני 	נקבה	רבים	ה_ד_ג_רנה
