זרי
התפעל 	הווה	שלישי	נקבה	יחיד	מז_ד_רה
התפעל 	הווה	ראשון	זכר 	רבים	מז_ד_רימ
התפעל 	הווה	ראשון	נקבה	רבים	מז_ד_רות
התפעל 	הווה	שני 	זכר 	רבים	מז_ד_רימ
התפעל 	הווה	שני 	נקבה	רבים	מז_ד_רות
התפעל 	הווה	שלישי	זכר 	רבים	מז_ד_רימ
התפעל 	הווה	שלישי	נקבה	רבים	מז_ד_רות
התפעל 	עתיד	ראשון	זכר 	יחיד	אז_ד_רה
התפעל 	עתיד	ראשון	נקבה	יחיד	אז_ד_רה
התפעל 	עתיד	שני 	זכר 	יחיד	תז_ד_רה
התפעל 	עתיד	שני 	נקבה	יחיד	תז_ד_רי
התפעל 	עתיד	שלישי	זכר 	יחיד	יז_ד_רה
התפעל 	עתיד	שלישי	נקבה	יחיד	תז_ד_רה
התפעל 	עתיד	ראשון	זכר 	רבים	נז_ד_רה
התפעל 	עתיד	ראשון	נקבה	רבים	נז_ד_רה
התפעל 	עתיד	שני 	זכר 	רבים	תז_ד_רו
התפעל 	עתיד	שני 	נקבה	רבים	תז_ד_רינה
התפעל 	עתיד	שלישי	זכר 	רבים	יז_ד_רו
התפעל 	עתיד	שלישי	נקבה	רבים	תז_ד_רינה
התפעל 	ציווי	שני 	זכר 	יחיד	הז_ד_רה
התפעל 	ציווי	שני 	נקבה	יחיד	הז_ד_רי
התפעל 	ציווי	שני 	זכר 	רבים	הז_ד_רו
התפעל 	ציווי	שני 	נקבה	רבים	הז_ד_רינה
