טוח
פעל 	הווה	_	_ 	_	ל_טו_ח
פועל	עתיד	ראשון	נקבה	רבים	נ_טו_ח_ח
פועל	עתיד	שני 	זכר 	רבים	ת_טו_ח_חו
פועל	עתיד	שני 	נקבה	רבים	ת_טו_ח_חו
פועל	עתיד	שלישי	זכר 	רבים	י_טו_ח_חו
פועל	עתיד	שלישי	נקבה	רבים	ת_טו_ח_חנה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_טו_ח_חתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_טו_ח_חתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_טו_ח_חת
התפעל 	עבר 	שני 	נקבה	יחיד	ה_טו_ח_חת
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_טו_ח_ח
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_טו_ח_חה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_טו_ח_חנו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_טו_ח_חו
התפעל 	עבר 	שני 	זכר 	רבים	ה_טו_ח_חתמ
התפעל 	עבר 	שני 	נקבה	רבים	ה_טו_ח_חתנ
התפעל 	עבר 	שלישי	זכר 	רבים	ה_טו_ח_חו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_טו_ח_חו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_טו_ח_ח
התפעל 	הווה	ראשון	נקבה	יחיד	מ_טו_ח_חת
התפעל 	הווה	שני 	זכר 	יחיד	מ_טו_ח_ח
התפעל 	הווה	שני 	נקבה	יחיד	מ_טו_ח_חת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_טו_ח_ח
התפעל 	הווה	שלישי	נקבה	יחיד	מ_טו_ח_חת
התפעל 	הווה	ראשון	זכר 	רבים	מ_טו_ח_חימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_טו_ח_חות
התפעל 	הווה	שני 	זכר 	רבים	מ_טו_ח_חימ
התפעל 	הווה	שני 	נקבה	רבים	מ_טו_ח_חות
התפעל 	הווה	שלישי	זכר 	רבים	מ_טו_ח_חימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_טו_ח_חות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_טו_ח_ח
התפעל 	עתיד	ראשון	נקבה	יחיד	א_טו_ח_ח
התפעל 	עתיד	שני 	זכר 	יחיד	ת_טו_ח_ח
התפעל 	עתיד	שני 	נקבה	יחיד	ת_טו_ח_חי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_טו_ח_ח
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_טו_ח_ח
התפעל 	עתיד	ראשון	זכר 	רבים	נ_טו_ח_ח
התפעל 	עתיד	ראשון	נקבה	רבים	נ_טו_ח_ח
התפעל 	עתיד	שני 	זכר 	רבים	ת_טו_ח_חו
התפעל 	עתיד	שני 	נקבה	רבים	ת_טו_ח_חנה
התפעל 	עתיד	שלישי	זכר 	רבים	י_טו_ח_חו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_טו_ח_חנה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_טו_ח_ח
התפעל 	ציווי	שני 	נקבה	יחיד	ה_טו_ח_חי
התפעל 	ציווי	שני 	זכר 	רבים	ה_טו_ח_חו
התפעל 	ציווי	שני 	נקבה	רבים	ה_טו_ח_חנה
