קומ
פעל 	הווה	_	_ 	_	ל_קו_מ
התפעל 	עבר 	שלישי	זכר 	רבים	הת_קו_מ_מו
התפעל 	עבר 	שלישי	נקבה	רבים	הת_קו_מ_מו
התפעל 	הווה	ראשון	זכר 	יחיד	מת_קו_מ_מ
התפעל 	הווה	ראשון	נקבה	יחיד	מת_קו_מ_מת
התפעל 	הווה	שני 	זכר 	יחיד	מת_קו_מ_מ
התפעל 	הווה	שני 	נקבה	יחיד	מת_קו_מ_מת
התפעל 	הווה	שלישי	זכר 	יחיד	מת_קו_מ_מ
התפעל 	הווה	שלישי	נקבה	יחיד	מת_קו_מ_מת
התפעל 	הווה	ראשון	זכר 	רבים	מת_קו_מ_מימ
התפעל 	הווה	ראשון	נקבה	רבים	מת_קו_מ_מות
התפעל 	הווה	שני 	זכר 	רבים	מת_קו_מ_מימ
התפעל 	הווה	שני 	נקבה	רבים	מת_קו_מ_מות
התפעל 	הווה	שלישי	זכר 	רבים	מת_קו_מ_מימ
התפעל 	הווה	שלישי	נקבה	רבים	מת_קו_מ_מות
התפעל 	עתיד	ראשון	זכר 	יחיד	את_קו_מ_מ
התפעל 	עתיד	ראשון	נקבה	יחיד	את_קו_מ_מ
התפעל 	עתיד	שני 	זכר 	יחיד	תת_קו_מ_מ
התפעל 	עתיד	שני 	נקבה	יחיד	תת_קו_מ_מי
התפעל 	עתיד	שלישי	זכר 	יחיד	ית_קו_מ_מ
התפעל 	עתיד	שלישי	נקבה	יחיד	תת_קו_מ_מ
התפעל 	עתיד	ראשון	זכר 	רבים	נת_קו_מ_מ
התפעל 	עתיד	ראשון	נקבה	רבים	נת_קו_מ_מ
התפעל 	עתיד	שני 	זכר 	רבים	ת_קו_מ_מו
התפעל 	עתיד	שני 	נקבה	רבים	תת_קו_מ_מנה
התפעל 	עתיד	שלישי	זכר 	רבים	ית_קו_מ_מו
התפעל 	עתיד	שלישי	נקבה	רבים	תת_קו_מ_מנה
התפעל 	ציווי	שני 	זכר 	יחיד	הת_קו_מ_מ
התפעל 	ציווי	שני 	נקבה	יחיד	הת_קו_מ_מי
התפעל 	ציווי	שני 	זכר 	רבים	הת_קו_מ_מו
התפעל 	ציווי	שני 	נקבה	רבים	הת_קו_מ_מנה
